Key,Common Name,Scientific Name
FWDU,Fulvous Whistling-Duck,Dendrocygna bicolor
LWDU,Lesser Whistling-Duck,Dendrocygna javanica
BHGO,Bar-headed Goose,Anser indicus
GRGO,Graylag Goose,Anser anser
GWFG,Greater White-fronted Goose,Anser albifrons
LWFG,Lesser White-fronted Goose,Anser erythropus
TBGO,Taiga Bean-Goose,Anser fabalis
TBGO,Tundra Bean-Goose,Anser serrirostris
BAGO,Barnacle Goose,Branta leucopsis
RBGO,Red-breasted Goose,Branta ruficollis
MUSW,Mute Swan,Cygnus olor
TUSW,Tundra Swan,Cygnus columbianus
WHSW,Whooper Swan,Cygnus cygnus
KBDU,Knob-billed Duck,Sarkidiornis melanotos
RUSH,Ruddy Shelduck,Tadorna ferruginea
COSH,Common Shelduck,Tadorna tadorna
CPGO,Cotton Pygmy-Goose,Nettapus coromandelianus
MADU,Mandarin Duck,Aix galericulata
BATE,Baikal Teal,Sibirionetta formosa
GARG,Garganey,Spatula querquedula
NOSH,Northern Shoveler,Spatula clypeata
GADW,Gadwall,Mareca strepera
FADU,Falcated Duck,Mareca falcata
EUWI,Eurasian Wigeon,Mareca penelope
ISBD,Indian Spot-billed Duck,Anas poecilorhyncha
ESBD,Eastern Spot-billed Duck,Anas zonorhyncha
MALL,Mallard,Anas platyrhynchos
NOPI,Northern Pintail,Anas acuta
GWTE,Green-winged Teal,Anas crecca
ANTE,Andaman Teal,Anas albogularis
MADU,Marbled Duck,Marmaronetta angustirostris
PHDU,Pink-headed Duck,Rhodonessa caryophyllacea
WWDU,White-winged Duck,Asarcornis scutulata
RCPO,Red-crested Pochard,Netta rufina
COPO,Common Pochard,Aythya ferina
FEDU,Ferruginous Duck,Aythya nyroca
BAPO,Baer's Pochard,Aythya baeri
TUDU,Tufted Duck,Aythya fuligula
GRSC,Greater Scaup,Aythya marila
LTDU,Long-tailed Duck,Clangula hyemalis
COGO,Common Goldeneye,Bucephala clangula
SMEW,Smew,Mergellus albellus
COME,Common Merganser,Mergus merganser
RBME,Red-breasted Merganser,Mergus serrator
WHDU,White-headed Duck,Oxyura leucocephala
NIME,Nicobar Megapode,Megapodius nicobariensis
HIPA,Hill Partridge,Arborophila torqueola
CBPA,Chestnut-breasted Partridge,Arborophila mandellii
RTPA,Rufous-throated Partridge,Arborophila rufogularis
WCPA,White-cheeked Partridge,Arborophila atrogularis
SNPA,Snow Partridge,Lerwa lerwa
BLPH,Blood Pheasant,Ithaginis cruentus
WETR,Western Tragopan,Tragopan melanocephalus
SATR,Satyr Tragopan,Tragopan satyra
BLTR,Blyth's Tragopan,Tragopan blythii
TETR,Temminck's Tragopan,Tragopan temminckii
HIMO,Himalayan Monal,Lophophorus impejanus
SCMO,Sclater's Monal,Lophophorus sclateri
KOPH,Koklass Pheasant,Pucrasia macrolopha
TIPA,Tibetan Partridge,Perdix hodgsoniae
MHPH,Mrs. Hume's Pheasant,Syrmaticus humiae
CHPH,Cheer Pheasant,Catreus wallichii
KAPH,Kalij Pheasant,Lophura leucomelanos
INPE,Indian Peafowl,Pavo cristatus
GRPE,Green Peafowl,Pavo muticus
RESP,Red Spurfowl,Galloperdix spadicea
PASP,Painted Spurfowl,Galloperdix lunulata
GPPH,Gray Peacock-Pheasant,Polyplectron bicalcaratum
MBPA,Mountain Bamboo-Partridge,Bambusicola fytchii
REJU,Red Junglefowl,Gallus gallus
GRJU,Gray Junglefowl,Gallus sonneratii
GRFR,Gray Francolin,Ortygornis pondicerianus
SWFR,Swamp Francolin,Ortygornis gularis
CHFR,Chinese Francolin,Francolinus pintadeanus
BLFR,Black Francolin,Francolinus francolinus
PAFR,Painted Francolin,Francolinus pictus
TISN,Tibetan Snowcock,Tetraogallus tibetanus
HISN,Himalayan Snowcock,Tetraogallus himalayensis
BBQU,Blue-breasted Quail,Synoicus chinensis
COQU,Common Quail,Coturnix coturnix
JAQU,Japanese Quail,Coturnix japonica
RAQU,Rain Quail,Coturnix coromandelica
CHUK,Chukar,Alectoris chukar
JBQU,Jungle Bush-Quail,Perdicula asiatica
RBQU,Rock Bush-Quail,Perdicula argoondah
PBQU,Painted Bush-Quail,Perdicula erythrorhyncha
MBQU,Manipur Bush-Quail,Perdicula manipurensis
HIQU,Himalayan Quail,Ophrysia superciliosa
ROPI,Rock Pigeon,Columba livia
HIPI,Hill Pigeon,Columba rupestris
SNPI,Snow Pigeon,Columba leuconota
YEPI,Yellow-eyed Pigeon,Columba eversmanni
CWPI,Common Wood-Pigeon,Columba palumbus
SWPI,Speckled Wood-Pigeon,Columba hodgsonii
AWPI,Ashy Wood-Pigeon,Columba pulchricollis
NWPI,Nilgiri Wood-Pigeon,Columba elphinstonii
PCPI,Pale-capped Pigeon,Columba punicea
AWPI,Andaman Wood-Pigeon,Columba palumboides
ETDO,European Turtle-Dove,Streptopelia turtur
OTDO,Oriental Turtle-Dove,Streptopelia orientalis
ECDO,Eurasian Collared-Dove,Streptopelia decaocto
RCDO,Red Collared-Dove,Streptopelia tranquebarica
SPDO,Spotted Dove,Spilopelia chinensis
LADO,Laughing Dove,Spilopelia senegalensis
BCDO,Barred Cuckoo-Dove,Macropygia unchall
ACDO,Andaman Cuckoo-Dove,Macropygia rufipennis
NADO,Namaqua Dove,Oena capensis
AEDO,Asian Emerald Dove,Chalcophaps indica
NIPI,Nicobar Pigeon,Caloenas nicobarica
OBGP,Orange-breasted Green-Pigeon,Treron bicinctus
GFGP,Gray-fronted Green-Pigeon,Treron affinis
AGPI,Andaman Green-Pigeon,Treron chloropterus
AHGP,Ashy-headed Green-Pigeon,Treron phayrei
TBGP,Thick-billed Green-Pigeon,Treron curvirostra
YFGP,Yellow-footed Green-Pigeon,Treron phoenicopterus
PTGP,Pin-tailed Green-Pigeon,Treron apicauda
WTGP,Wedge-tailed Green-Pigeon,Treron sphenurus
GIPI,Green Imperial-Pigeon,Ducula aenea
NIPI,Nicobar Imperial-Pigeon,Ducula nicobarica
MIPI,Malabar Imperial-Pigeon,Ducula cuprea
MIPI,Mountain Imperial-Pigeon,Ducula badia
PIPI,Pied Imperial-Pigeon,Ducula bicolor
TISA,Tibetan Sandgrouse,Syrrhaptes tibetanus
PASA,Pallas's Sandgrouse,Syrrhaptes paradoxus
PTSA,Pin-tailed Sandgrouse,Pterocles alchata
CBSA,Chestnut-bellied Sandgrouse,Pterocles exustus
SPSA,Spotted Sandgrouse,Pterocles senegallus
BBSA,Black-bellied Sandgrouse,Pterocles orientalis
PASA,Painted Sandgrouse,Pterocles indicus
GIBU,Great Indian Bustard,Ardeotis nigriceps
ASHO,Asian Houbara,Chlamydotis macqueenii
BEFL,Bengal Florican,Houbaropsis bengalensis
LEFL,Lesser Florican,Sypheotides indicus
LIBU,Little Bustard,Tetrax tetrax
ANCO,Andaman Coucal,Centropus andamanensis
GRCO,Greater Coucal,Centropus sinensis
LECO,Lesser Coucal,Centropus bengalensis
SIMA,Sirkeer Malkoha,Taccocua leschenaultii
BFMA,Blue-faced Malkoha,Phaenicophaeus viridirostris
GBMA,Green-billed Malkoha,Phaenicophaeus tristis
CWCU,Chestnut-winged Cuckoo,Clamator coromandus
PICU,Pied Cuckoo,Clamator jacobinus
ASKO,Asian Koel,Eudynamys scolopaceus
AECU,Asian Emerald Cuckoo,Chrysococcyx maculatus
VICU,Violet Cuckoo,Chrysococcyx xanthorhynchus
HBCU,Horsfield's Bronze-Cuckoo,Chalcites basalis
BBCU,Banded Bay Cuckoo,Cacomantis sonneratii
PLCU,Plaintive Cuckoo,Cacomantis merulinus
GBCU,Gray-bellied Cuckoo,Cacomantis passerinus
FTDC,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides
STDC,Square-tailed Drongo-Cuckoo,Surniculus lugubris
LHCU,Large Hawk-Cuckoo,Hierococcyx sparverioides
CHCU,Common Hawk-Cuckoo,Hierococcyx varius
HHCU,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
LECU,Lesser Cuckoo,Cuculus poliocephalus
INCU,Indian Cuckoo,Cuculus micropterus
HICU,Himalayan Cuckoo,Cuculus saturatus
COCU,Common Cuckoo,Cuculus canorus
GENI,Great Eared-Nightjar,Lyncornis macrotis
JUNI,Jungle Nightjar,Caprimulgus indicus
GRNI,Gray Nightjar,Caprimulgus jotaka
EUNI,Eurasian Nightjar,Caprimulgus europaeus
SYNI,Sykes's Nightjar,Caprimulgus mahrattensis
LTNI,Large-tailed Nightjar,Caprimulgus macrurus
ANNI,Andaman Nightjar,Caprimulgus andamanicus
JENI,Jerdon's Nightjar,Caprimulgus atripennis
INNI,Indian Nightjar,Caprimulgus asiaticus
SANI,Savanna Nightjar,Caprimulgus affinis
SLFR,Sri Lanka Frogmouth,Batrachostomus moniliger
HOFR,Hodgson's Frogmouth,Batrachostomus hodgsoni
WRSP,White-rumped Spinetail,Zoonavena sylvatica
WTNE,White-throated Needletail,Hirundapus caudacutus
SBNE,Silver-backed Needletail,Hirundapus cochinchinensis
BBNE,Brown-backed Needletail,Hirundapus giganteus
PTSW,Plume-toed Swiftlet,Collocalia affinis
INSW,Indian Swiftlet,Aerodramus unicolor
HISW,Himalayan Swiftlet,Aerodramus brevirostris
WNSW,White-nest Swiftlet,Aerodramus fuciphagus
ALSW,Alpine Swift,Tachymarptis melba
COSW,Common Swift,Apus apus
PASW,Pacific Swift,Apus pacificus
BLSW,Blyth's Swift,Apus leuconyx
DRSW,Dark-rumped Swift,Apus acuticauda
LISW,Little Swift,Apus affinis
HOSW,House Swift,Apus nipalensis
APSW,Asian Palm Swift,Cypsiurus balasiensis
CRTR,Crested Treeswift,Hemiprocne coronata
WARA,Water Rail,Rallus aquaticus
BCRA,Brown-cheeked Rail,Rallus indicus
